publisher-location,reference-count,publisher,short-container-title,DOI,type,source,is-referenced-by-count,title,prefix,author,member,container-title,original-title,score,subtitle,short-title,references-count,URL,subject,indexed.date-parts,indexed.date-time,indexed.timestamp,content-domain.domain,content-domain.crossmark-restriction,published-print.date-parts,created.date-parts,created.date-time,created.timestamp,deposited.date-parts,deposited.date-time,deposited.timestamp,resource.primary.URL,issued.date-parts,published.date-parts,page,volume,ISSN,issn-type,issue,language,journal-issue.issue,journal-issue.published-print.date-parts,institution,license,abstract,subtype,posted.date-parts,editor,standards-body.name,standards-body.acronym,approved.date-parts
"New York,",0,"Lea & Febiger,",[],10.5962/bhl.title.26910,monograph,Crossref,0,"['The principles of bacteriology: a practical manual for students and physicians, by A. C. Abbott.']",10.5962,"[{'given': 'A.C.', 'family': 'Abbott', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.26910,[],"[[2022, 4, 4]]",2022-04-04T20:21:29Z,1649103689371,[],False,[[1915]],"[[2011, 11, 22]]",2011-11-22T15:45:15Z,1321976715000,"[[2011, 11, 22]]",2011-11-22T15:45:29Z,1321976729000,http://www.biodiversitylibrary.org/bibliography/26910,[[1915]],[[1915]],,,,,,,,,,,,,,,,,
,0,Smithsonian Institution,[],10.5962/bhl.part.4855,journal-article,Crossref,0,['Description of a new tiger-beetle from the Northern Territory'],10.5962,"[{'given': 'T G', 'family': 'Sloane', 'sequence': 'first', 'affiliation': []}]",3444,['Proceedings of the Linnean Society of New South Wales.'],[],1,[],[],0,https://doi.org/10.5962/bhl.part.4855,[],"[[2022, 4, 4]]",2022-04-04T20:08:16Z,1649102896606,[],False,[[1917]],"[[2016, 1, 14]]",2016-01-14T05:42:32Z,1452750152000,"[[2016, 1, 14]]",2016-01-14T05:42:32Z,1452750152000,http://www.biodiversitylibrary.org/part/4855,[[1917]],[[1917]],337-338,42,['0370-047X'],"[{'value': '0370-047X', 'type': 'print'}]",,,,,,,,,,,,,
"Janesville, Wis. :",0,"Kellogg's Nursery,",[],10.5962/bhl.title.117805,monograph,Crossref,0,"['New illustrated and descriptive catalog of fruit and ornamental trees, small fruits, shrubs, vines and roses /']",10.5962,"[{'name': ""Kellogg's Nursery (Janesville, Wis.)"", 'sequence': 'first', 'affiliation': []}, {'name': 'Henry G. Gilbert Nursery and Seed Trade Catalog Collection.', 'sequence': 'additional', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.117805,[],"[[2022, 4, 3]]",2022-04-03T09:39:54Z,1648978794208,[],False,[[1919]],"[[2016, 5, 23]]",2016-05-23T15:46:13Z,1464018373000,"[[2016, 5, 23]]",2016-05-23T15:46:14Z,1464018374000,http://www.biodiversitylibrary.org/bibliography/117805,[[1919]],[[1919]],,,,,,,,,,,,,,,,,
[New Jersey] :,0,"Published by the author,",[],10.5962/bhl.title.14483,monograph,Crossref,0,['The birds of Somerset Hills / by John Dryden Kuser.'],10.5962,"[{'given': 'John Dryden', 'family': 'Kuser', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.14483,[],"[[2022, 4, 3]]",2022-04-03T10:32:47Z,1648981967008,[],False,[[1912]],"[[2011, 11, 22]]",2011-11-22T00:26:13Z,1321921573000,"[[2011, 11, 22]]",2011-11-22T00:26:35Z,1321921595000,http://www.biodiversitylibrary.org/bibliography/14483,[[1912]],[[1912]],,,,,,,,,,,,,,,,,
Tours [France] :,0,"A. Mame,",[],10.5962/bhl.title.61362,monograph,Crossref,0,['Voyages et découvertes outre mer au XIXe siècle'],10.5962,"[{'given': 'Arthur', 'family': 'Mangin', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.61362,[],"[[2022, 4, 3]]",2022-04-03T10:36:49Z,1648982209695,[],False,[[1875]],"[[2012, 8, 26]]",2012-08-26T06:00:35Z,1345960835000,"[[2012, 8, 26]]",2012-08-26T06:00:35Z,1345960835000,http://www.biodiversitylibrary.org/bibliography/61362,[[1875]],[[1875]],,,,,,,,,,,,,,,,,
,0,[s.n.],[],10.5962/bhl.title.147308,monograph,Crossref,0,"['Nihoa Island, July - August 1966, R. Heiden']",10.5962,"[{'given': 'Richard S.', 'family': 'Heiden', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.147308,[],"[[2022, 4, 3]]",2022-04-03T10:42:12Z,1648982532071,[],False,[[1966]],"[[2018, 4, 23]]",2018-04-23T05:00:45Z,1524459645000,"[[2018, 4, 23]]",2018-04-23T05:00:45Z,1524459645000,https://www.biodiversitylibrary.org/bibliography/147308,[[1966]],[[1966]],,,,,,,,,,,,,,,,,
"Louisville, Kentucky :",0,"Hall Seed Company, Incorporated,",[],10.5962/bhl.title.138321,monograph,Crossref,0,"[""Hall's premium seed book for season of 1927 /""]",10.5962,"[{'name': 'Hall Seed Co.', 'sequence': 'first', 'affiliation': []}, {'name': 'Henry G. Gilbert Nursery and Seed Trade Catalog Collection.', 'sequence': 'additional', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.138321,[],"[[2022, 4, 3]]",2022-04-03T10:14:16Z,1648980856415,[],False,[[1927]],"[[2017, 9, 17]]",2017-09-17T01:03:18Z,1505610198000,"[[2017, 9, 17]]",2017-09-17T01:03:19Z,1505610199000,http://www.biodiversitylibrary.org/bibliography/138321,[[1927]],[[1927]],,,,,,,,,,,,,,,,,
"Louisville, Ky. :",0,"Herndon-Carter Co.,",[],10.5962/bhl.title.104186,monograph,Crossref,0,['Cow peas and onion sets : [price list] /'],10.5962,"[{'name': 'Herndon-Carter Co.', 'sequence': 'first', 'affiliation': []}, {'name': 'Henry G. Gilbert Nursery and Seed Trade Catalog Collection.', 'sequence': 'additional', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.104186,[],"[[2022, 4, 4]]",2022-04-04T19:15:55Z,1649099755491,[],False,[[1911]],"[[2015, 6, 28]]",2015-06-28T06:04:11Z,1435471451000,"[[2015, 6, 28]]",2015-06-28T06:04:11Z,1435471451000,http://www.biodiversitylibrary.org/bibliography/104186,[[1911]],[[1911]],,,,,,,,,,,,,,,,,
New York :,0,"Rural publishing company,",[],10.5962/bhl.title.101143,monograph,Crossref,0,"[""The horticulturist's rule-book : a compendium of useful information for fruit-growers, truck-gardeners, florists and others. Completed to the beginning of the year 1892 /""]",10.5962,"[{'given': 'L. H.', 'family': 'Bailey', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.101143,[],"[[2022, 4, 4]]",2022-04-04T19:15:28Z,1649099728591,[],False,[[1892]],"[[2015, 4, 3]]",2015-04-03T10:11:18Z,1428055878000,"[[2015, 4, 3]]",2015-04-03T10:11:19Z,1428055879000,http://www.biodiversitylibrary.org/bibliography/101143,[[1892]],[[1892]],,,,,,,,,,,,,,,,,
Philadelphia :,0,"T. & J. W. Johnson,",[],10.5962/bhl.title.55910,monograph,Crossref,2,"['The law of animals : a treatise on property in animals, wild and domestic and the rights and responsibilities arising therefrom /']",10.5962,"[{'given': 'John H.', 'family': 'Ingham', 'sequence': 'first', 'affiliation': []}]",3444,[],[],1,[],[],0,https://doi.org/10.5962/bhl.title.55910,[],"[[2022, 4, 4]]",2022-04-04T19:57:33Z,1649102253744,[],False,[[1900]],"[[2012, 1, 12]]",2012-01-12T07:27:21Z,1326353241000,"[[2012, 1, 12]]",2012-01-12T07:27:37Z,1326353257000,http://www.biodiversitylibrary.org/bibliography/55910,[[1900]],[[1900]],,,,,,,,,,,,,,,,,
